time="2024-02-04T17:20:26+01:00" level=info msg="Service running in :3001" requestID="<nil>"
time="2024-02-04T17:20:43+01:00" level=info msg="Service running in :3002" requestID="<nil>"
time="2024-02-04T17:21:21+01:00" level=info msg="2024-02-04 17:21:21 | /file | GET | PostmanRuntime/7.36.1 | 200 | 12919" requestID=3
time="2024-02-04T17:21:25+01:00" level=info msg="2024-02-04 17:21:25 | /file | GET | PostmanRuntime/7.36.1 | 200 | 14864" requestID=3
time="2024-02-04T17:21:25+01:00" level=info msg="2024-02-04 17:21:25 | /file | GET | PostmanRuntime/7.36.1 | 200 | 9732" requestID=3
time="2024-02-04T17:21:26+01:00" level=info msg="2024-02-04 17:21:26 | /file | GET | PostmanRuntime/7.36.1 | 200 | 6292" requestID=3
time="2024-02-04T17:21:27+01:00" level=info msg="2024-02-04 17:21:27 | /file | GET | PostmanRuntime/7.36.1 | 200 | 11881" requestID=3
time="2024-02-04T17:21:28+01:00" level=info msg="2024-02-04 17:21:28 | /file | GET | PostmanRuntime/7.36.1 | 200 | 6659" requestID=3
time="2024-02-04T17:21:29+01:00" level=info msg="2024-02-04 17:21:29 | /file | GET | PostmanRuntime/7.36.1 | 200 | 6364" requestID=3
time="2024-02-04T17:21:29+01:00" level=info msg="2024-02-04 17:21:29 | /file | GET | PostmanRuntime/7.36.1 | 200 | 16958" requestID=3
time="2024-02-04T17:21:29+01:00" level=info msg="2024-02-04 17:21:29 | /file | GET | PostmanRuntime/7.36.1 | 200 | 7988" requestID=3
time="2024-02-04T17:22:47+01:00" level=info msg="2024-02-04 17:22:47 | /files | GET | PostmanRuntime/7.36.1 | 404 | 12" requestID=3
time="2024-02-04T17:22:57+01:00" level=info msg="2024-02-04 17:22:57 | /file | GET | PostmanRuntime/7.36.1 | 400 | 126" requestID=3
time="2024-02-04T17:23:41+01:00" level=info msg="Service running in :3002" requestID="<nil>"
time="2024-02-04T17:24:43+01:00" level=info msg="Service running in :3002" requestID="<nil>"
time="2024-02-04T17:24:44+01:00" level=info msg="2024-02-04 17:24:44 | /file | GET | PostmanRuntime/7.36.1 | 400 | 142" requestID=3
time="2024-02-04T18:06:46+01:00" level=info msg="Service running in :3002" requestID="<nil>"
time="2024-02-04T18:06:48+01:00" level=info msg="2024-02-04 18:06:48 | /file | GET | PostmanRuntime/7.36.1 | 200 | 607" requestID=3
time="2024-02-04T18:16:45+01:00" level=info msg="2024-02-04 18:16:45 | /metadata | POST | Go-http-client/1.1 | 400 | 206" requestID="<nil>"
time="2024-02-04T18:17:17+01:00" level=info msg="2024-02-04 18:17:17 | /metadata | POST | Go-http-client/1.1 | 400 | 28" requestID="<nil>"
time="2024-02-04T18:21:14+01:00" level=info msg="2024-02-04 18:21:14 | /file | GET | PostmanRuntime/7.36.1 | 200 | 475" requestID=3
time="2024-02-04T18:21:18+01:00" level=info msg="2024-02-04 18:21:18 | /filea | GET | PostmanRuntime/7.36.1 | 404 | 14" requestID=3
time="2024-02-04T18:21:30+01:00" level=info msg="2024-02-04 18:21:30 | / | GET | Go-http-client/1.1 | 400 | 41" requestID="<nil>"
time="2024-02-04T18:22:28+01:00" level=info msg="2024-02-04 18:22:28 | /file | GET | Go-http-client/1.1 | 400 | 31" requestID="<nil>"
time="2024-02-04T18:35:35+01:00" level=info msg="2024-02-04 18:35:35 | /file | GET | Go-http-client/1.1 | 400 | 38" requestID="<nil>"
time="2024-02-04T18:35:50+01:00" level=info msg="2024-02-04 18:35:50 | /file | GET | PostmanRuntime/7.36.1 | 400 | 38" requestID="<nil>"
time="2024-02-04T18:37:13+01:00" level=info msg="2024-02-04 18:37:13 | /file | GET | Go-http-client/1.1 | 200 | 88" requestID=3
time="2024-02-04T18:37:47+01:00" level=info msg="2024-02-04 18:37:47 | /file | GET | PostmanRuntime/7.36.1 | 200 | 1131" requestID=3
time="2024-02-04T18:37:51+01:00" level=info msg="2024-02-04 18:37:51 | /file | GET | PostmanRuntime/7.36.1 | 200 | 225" requestID=3
time="2024-02-04T18:38:30+01:00" level=info msg="2024-02-04 18:38:30 | /file | GET | Go-http-client/1.1 | 200 | 121" requestID=3
time="2024-02-04T18:47:48+01:00" level=info msg="2024-02-04 18:47:48 | /file | GET | Go-http-client/1.1 | 200 | 113" requestID=3
time="2024-02-04T18:47:48+01:00" level=info msg="2024-02-04 18:47:48 | /file | GET | Go-http-client/1.1 | 400 | 85" requestID=3
time="2024-02-04T18:48:08+01:00" level=info msg="2024-02-04 18:48:08 | /file | GET | Go-http-client/1.1 | 400 | 81" requestID=3
time="2024-02-04T18:48:37+01:00" level=info msg="2024-02-04 18:48:37 | /file | GET | Go-http-client/1.1 | 400 | 103" requestID=3
time="2024-02-04T18:48:45+01:00" level=info msg="2024-02-04 18:48:45 | /file | GET | Go-http-client/1.1 | 200 | 142" requestID=3
time="2024-02-04T18:48:45+01:00" level=info msg="2024-02-04 18:48:45 | /file | GET | Go-http-client/1.1 | 400 | 50" requestID=3
time="2024-02-04T18:50:03+01:00" level=info msg="2024-02-04 18:50:03 | /file | GET | Go-http-client/1.1 | 200 | 68" requestID=3
time="2024-02-04T18:50:03+01:00" level=info msg="2024-02-04 18:50:03 | /file | GET | Go-http-client/1.1 | 400 | 5" requestID="<nil>"
time="2024-02-04T18:50:03+01:00" level=info msg="2024-02-04 18:50:03 | /file | GET | Go-http-client/1.1 | 400 | 26" requestID=3
time="2024-02-04T18:51:09+01:00" level=info msg="2024-02-04 18:51:09 | /file | GET | Go-http-client/1.1 | 200 | 173" requestID=3
time="2024-02-04T18:51:09+01:00" level=info msg="2024-02-04 18:51:09 | /file | GET | Go-http-client/1.1 | 400 | 12" requestID="<nil>"
time="2024-02-04T18:51:09+01:00" level=info msg="2024-02-04 18:51:09 | /file | GET | Go-http-client/1.1 | 400 | 47" requestID=3
time="2024-02-04T18:51:49+01:00" level=info msg="2024-02-04 18:51:49 | /file | GET | Go-http-client/1.1 | 200 | 71" requestID=3
time="2024-02-04T18:51:49+01:00" level=info msg="2024-02-04 18:51:49 | /file | GET | Go-http-client/1.1 | 400 | 4" requestID="<nil>"
time="2024-02-04T18:51:49+01:00" level=info msg="2024-02-04 18:51:49 | /file | GET | Go-http-client/1.1 | 400 | 25" requestID=3
time="2024-02-04T18:53:57+01:00" level=info msg="2024-02-04 18:53:57 | /file | GET | Go-http-client/1.1 | 200 | 220" requestID=3
time="2024-02-04T18:53:57+01:00" level=info msg="2024-02-04 18:53:57 | /file | GET | Go-http-client/1.1 | 400 | 36" requestID="<nil>"
time="2024-02-04T18:53:57+01:00" level=info msg="2024-02-04 18:53:57 | /file | GET | Go-http-client/1.1 | 400 | 75" requestID=3
time="2024-02-04T19:02:04+01:00" level=info msg="2024-02-04 19:02:04 | /file | GET | Go-http-client/1.1 | 200 | 151" requestID=3
time="2024-02-04T19:02:04+01:00" level=info msg="2024-02-04 19:02:04 | /file | GET | Go-http-client/1.1 | 400 | 42" requestID="<nil>"
time="2024-02-04T19:02:04+01:00" level=info msg="2024-02-04 19:02:04 | /file | GET | Go-http-client/1.1 | 400 | 105" requestID=3
time="2024-02-04T19:16:22+01:00" level=info msg="Service running in :3002" requestID="<nil>"
time="2024-02-04T19:16:31+01:00" level=info msg="2024-02-04 19:16:31 | /file | GET | Go-http-client/1.1 | 200 | 320" requestID=3
time="2024-02-04T19:16:31+01:00" level=info msg="2024-02-04 19:16:31 | /file | GET | Go-http-client/1.1 | 400 | 97" requestID="<nil>"
time="2024-02-04T19:16:31+01:00" level=info msg="2024-02-04 19:16:31 | /file | GET | Go-http-client/1.1 | 400 | 90" requestID=3
time="2024-02-04T19:17:20+01:00" level=info msg="2024-02-04 19:17:20 | /file | GET | Go-http-client/1.1 | 200 | 125" requestID=3
time="2024-02-04T19:17:20+01:00" level=info msg="2024-02-04 19:17:20 | /file | GET | Go-http-client/1.1 | 400 | 33" requestID="<nil>"
time="2024-02-04T19:17:20+01:00" level=info msg="2024-02-04 19:17:20 | /file | GET | Go-http-client/1.1 | 400 | 86" requestID=3
time="2024-02-04T19:26:30+01:00" level=info msg="2024-02-04 19:26:30 | /file | GET | Go-http-client/1.1 | 200 | 177" requestID=3
time="2024-02-04T19:26:30+01:00" level=info msg="2024-02-04 19:26:30 | /file | GET | Go-http-client/1.1 | 400 | 32" requestID="<nil>"
time="2024-02-04T19:26:30+01:00" level=info msg="2024-02-04 19:26:30 | /file | GET | Go-http-client/1.1 | 400 | 64" requestID=3
time="2024-02-04T19:31:03+01:00" level=info msg="2024-02-04 19:31:03 | /file | GET | Go-http-client/1.1 | 200 | 99" requestID=3
time="2024-02-04T19:31:03+01:00" level=info msg="2024-02-04 19:31:03 | /file | GET | Go-http-client/1.1 | 400 | 66" requestID="<nil>"
time="2024-02-04T19:31:03+01:00" level=info msg="2024-02-04 19:31:03 | /file | GET | Go-http-client/1.1 | 400 | 55" requestID=3
time="2024-02-04T19:31:36+01:00" level=info msg="2024-02-04 19:31:36 | /file | GET | Go-http-client/1.1 | 200 | 218" requestID=3
time="2024-02-04T19:31:36+01:00" level=info msg="2024-02-04 19:31:36 | /file | GET | Go-http-client/1.1 | 400 | 37" requestID="<nil>"
time="2024-02-04T19:31:36+01:00" level=info msg="2024-02-04 19:31:36 | /file | GET | Go-http-client/1.1 | 400 | 63" requestID=3
time="2024-02-04T19:35:38+01:00" level=info msg="2024-02-04 19:35:38 | /file | GET | Go-http-client/1.1 | 200 | 167" requestID=3
time="2024-02-04T19:35:38+01:00" level=info msg="2024-02-04 19:35:38 | /file | GET | Go-http-client/1.1 | 400 | 36" requestID="<nil>"
time="2024-02-04T19:35:38+01:00" level=info msg="2024-02-04 19:35:38 | /file | GET | Go-http-client/1.1 | 400 | 115" requestID=3
time="2024-02-04T19:39:45+01:00" level=info msg="2024-02-04 19:39:45 | /file | GET | Go-http-client/1.1 | 200 | 188" requestID=3
time="2024-02-04T19:39:45+01:00" level=info msg="2024-02-04 19:39:45 | /file | GET | Go-http-client/1.1 | 400 | 45" requestID="<nil>"
time="2024-02-04T19:39:45+01:00" level=info msg="2024-02-04 19:39:45 | /file | GET | Go-http-client/1.1 | 400 | 105" requestID=3
time="2024-02-04T19:41:02+01:00" level=info msg="2024-02-04 19:41:02 | /file | GET | Go-http-client/1.1 | 200 | 170" requestID=3
time="2024-02-04T19:41:02+01:00" level=info msg="2024-02-04 19:41:02 | /file | GET | Go-http-client/1.1 | 400 | 39" requestID="<nil>"
time="2024-02-04T19:41:02+01:00" level=info msg="2024-02-04 19:41:02 | /file | GET | Go-http-client/1.1 | 400 | 111" requestID=3
time="2024-02-04T19:45:01+01:00" level=info msg="2024-02-04 19:45:01 | /file | GET | Go-http-client/1.1 | 200 | 121" requestID=3
time="2024-02-04T19:45:01+01:00" level=info msg="2024-02-04 19:45:01 | /file | GET | Go-http-client/1.1 | 400 | 18" requestID="<nil>"
time="2024-02-04T19:45:01+01:00" level=info msg="2024-02-04 19:45:01 | /file | GET | Go-http-client/1.1 | 400 | 53" requestID=3
time="2024-02-04T19:49:32+01:00" level=info msg="2024-02-04 19:49:32 | /file | GET | Go-http-client/1.1 | 200 | 146" requestID=3
time="2024-02-04T19:49:32+01:00" level=info msg="2024-02-04 19:49:32 | /file | GET | Go-http-client/1.1 | 400 | 29" requestID="<nil>"
time="2024-02-04T19:49:32+01:00" level=info msg="2024-02-04 19:49:32 | /file | GET | Go-http-client/1.1 | 400 | 55" requestID=3
time="2024-02-04T19:51:14+01:00" level=info msg="2024-02-04 19:51:14 | /file | GET | Go-http-client/1.1 | 200 | 133" requestID=3
time="2024-02-04T19:51:14+01:00" level=info msg="2024-02-04 19:51:14 | /file | GET | Go-http-client/1.1 | 400 | 35" requestID="<nil>"
time="2024-02-04T19:51:14+01:00" level=info msg="2024-02-04 19:51:14 | /file | GET | Go-http-client/1.1 | 400 | 73" requestID=3
time="2024-02-04T19:52:54+01:00" level=info msg="2024-02-04 19:52:54 | /file | GET | Go-http-client/1.1 | 200 | 173" requestID=3
time="2024-02-04T19:52:54+01:00" level=info msg="2024-02-04 19:52:54 | /file | GET | Go-http-client/1.1 | 400 | 36" requestID="<nil>"
time="2024-02-04T19:52:54+01:00" level=info msg="2024-02-04 19:52:54 | /file | GET | Go-http-client/1.1 | 400 | 98" requestID=3
time="2024-02-04T19:53:37+01:00" level=info msg="2024-02-04 19:53:37 | /file | GET | Go-http-client/1.1 | 200 | 197" requestID=3
time="2024-02-04T19:53:37+01:00" level=info msg="2024-02-04 19:53:37 | /file | GET | Go-http-client/1.1 | 400 | 36" requestID="<nil>"
time="2024-02-04T19:53:37+01:00" level=info msg="2024-02-04 19:53:37 | /file | GET | Go-http-client/1.1 | 400 | 82" requestID=3
time="2024-02-04T19:54:55+01:00" level=info msg="2024-02-04 19:54:55 | /file | GET | Go-http-client/1.1 | 200 | 80" requestID=3
